date,close,volume,macd_line,macd_diff,macd_signal,rsi,vix_prct_returns,daily_prct_change,ebitda,ev_ebitda,daily_return,log_return,target,time_idx,symbol
2016-04-01,24.96,113856948,0.584986022,0.07350989,0.511476132,73.16791855,-6.093189964,0.93004448,16464.0,38.94071914480078,-0.060931899641577,0.009257461967902189,0.0008116883562524413,0,AAPL
2016-04-04,25.21,157112212,0.618474625,0.085598794,0.532875831,75.31979514,7.786259542,1.001602564,16464.0,38.94071914480078,0.0778625954198473,0.00996619769860145,0.00364446647564263,3,AAPL
2016-04-05,24.92,111266284,0.614530087,0.065323405,0.549206682,68.46098453,9.206798867,-1.150337168,16464.0,38.94071914480078,0.0920679886685553,-0.011570047280576074,0.01285158250358032,4,AAPL
2016-04-06,25.18,111477272,0.625177186,0.060776403,0.564400783,71.00986761,-8.625162127,1.043338684,16464.0,38.94071914480078,-0.0862516212710765,0.010379334696948692,0.014263316293385874,5,AAPL
2016-04-07,24.63,132677620,0.58251976,0.014495182,0.568024578,59.96901266,14.6912704,-2.184273233,16464.0,38.94071914480078,0.1469127040454223,-0.022084816483754592,0.0007864727106133546,6,AAPL
2016-04-08,24.65,101367052,0.544055739,-0.019175071,0.56323081,60.2112806,-4.95049505,0.081201786,16464.0,38.94071914480078,-0.0495049504950495,0.0008116883562524413,-0.02065204455266894,7,AAPL
2016-04-11,24.74,123312696,0.514899532,-0.038665022,0.553564555,61.34499226,5.859375,0.365111562,16464.0,38.94071914480078,0.0585937500000002,0.00364446647564263,-0.021497481691423573,10,AAPL
2016-04-12,25.06,113403140,0.511715615,-0.033479152,0.545194767,65.1474892,-8.671586716,1.2934519,16464.0,38.94071914480078,-0.0867158671586717,0.01285158250358032,-0.00534430871192477,11,AAPL
2016-04-13,25.42,138863092,0.532107524,-0.010469794,0.542577318,68.85886363,-6.801346801,1.436552275,16464.0,38.94071914480078,-0.0680134680134679,0.014263316293385874,0.0020588848121278996,12,AAPL
2016-04-14,25.44,108278812,0.54361563,0.000830649,0.542784981,69.05601018,-0.867052023,0.078678206,16464.0,38.94071914480078,-0.0086705202312138,0.0007864727106133546,-0.011168678661025113,13,AAPL
2016-04-15,24.92,204001696,0.50495542,-0.030263648,0.535219069,58.65820792,-0.728862974,-2.044025157,16464.0,38.94071914480078,-0.0072886297376094,-0.02065204455266894,-0.0024989600676386422,14,AAPL
2016-04-18,24.39,253502352,0.426632403,-0.086869333,0.513501735,50.33867309,-1.982378855,-2.126805778,16464.0,38.94071914480078,-0.0198237885462554,-0.021497481691423573,-0.005855307402219221,17,AAPL
2016-04-19,24.26,136773984,0.350035937,-0.130772639,0.480808576,48.52085321,-0.823970037,-0.53300533,16464.0,38.94071914480078,-0.0082397003745318,-0.00534430871192477,-0.006734032181344068,18,AAPL
2016-04-20,24.31,127570952,0.290024051,-0.15262762,0.442651671,49.27950744,0.302114804,0.206100577,16464.0,38.94071914480078,0.0030211480362536,0.0020588848121278996,-0.06453852113757118,19,AAPL
2016-04-21,24.04,131804532,0.218162613,-0.179591246,0.397753859,45.38953339,5.045180723,-1.110654052,16464.0,38.94071914480078,0.0504518072289157,-0.011168678661025113,-0.031109553584650115,20,AAPL
