,ARIMA,TCN,TFT,XGB,XGB_RSearch,Linear_Regression
Training_Accuracy,61.16216651,84.74107092,63.47031383,97.79509291,88.78876935,0.570813266
Testing_Accuracy,-0.260327977,69.1453968,52.72853847,71.40683705,71.76379352,-0.481070396
