date,norm_close,norm_obv_diff,macd_line,macd_diff,macd_signal,rsi,ev_ebidta,norm_vix_change,arima_pred,tcn_pred,tft_pred,xgb_pred,xgb_rsearch_pred,tft_res,lr_pred,price_change
2016-09-15T00:00:00.000000000Z,1.071298728,0.445693775,0.311392174,0.100705932,0.210686242,71.66051807,45.52925342,2.207261185,1.049687259,-0.756432646,-1.563029244,-0.919649257,-1.164816602,0.77117404,0.249612303,-0.791855204
2016-09-16T00:00:00.000000000Z,1.0627669,-0.44940137,0.403155027,0.153975028,0.249179999,69.45825735,45.52925342,-0.874227227,-0.732563924,-0.598369837,-0.26022623,-1.372508506,-0.787585417,-1.67305656,0.088256038,-1.93328279
2016-09-19T00:00:00.000000000Z,1.048229831,-0.22499231,0.445725296,0.157236238,0.288489059,64.71565732,45.52925342,0.172702607,-1.554155052,-1.099732535,0.422158791,-0.662177609,-0.98663907,-1.03589105,0.109844427,-0.613732259
2016-09-20T00:00:00.000000000Z,1.045769987,0.161819633,0.473998581,0.148407618,0.325590963,64.71565732,45.52925342,-0.755340734,-0.399381267,-0.693837754,0.603527418,-0.600461969,-0.621953377,-1.025468346,0.049022375,-0.421940928
2016-09-21T00:00:00.000000000Z,1.043109314,-0.170552515,0.4899506,0.13148771,0.35846289,64.55076453,45.52925342,-1.857969231,-0.322162324,-0.183785492,1.231839037,0.155956363,0.10549066,-0.886482168,-0.006285678,0.345356869
2016-09-22T00:00:00.000000000Z,1.049922184,0.142153603,0.516808159,0.126676215,0.390131944,66.8264339,45.52925342,-1.837614159,0.309850487,-0.291839909,3.389485217,-1.531824731,-0.508739613,-5.51795348,0.009353164,-2.128468263
2016-09-23T00:00:00.000000000Z,1.029938689,-0.23598157,0.496861138,0.085383355,0.411477783,59.57738425,45.52925342,-1.409016811,-1.790462251,-0.571109837,-2.367846035,-0.235656046,-0.576290988,2.677084535,-0.017455596,0.3092385
2016-09-26T00:00:00.000000000Z,1.028725706,0.135044126,0.478761779,0.053827197,0.424934582,60.00216156,45.52925342,-0.464953173,0.384270075,0.594271295,1.392419552,-0.095729257,0.372308468,-1.739775785,0.022931305,-0.347356233
2016-09-27T00:00:00.000000000Z,1.027772829,0.107627145,0.463113999,0.030543533,0.432570466,60.56007608,45.52925342,-1.241097764,-0.31592887,-0.504618388,1.031804402,-0.321557443,-0.167342822,-1.147366806,-0.012964945,-0.115562404
2016-09-28T00:00:00.000000000Z,1.031578532,0.118859697,0.460733385,0.022530335,0.438203049,62.6898171,45.52925342,-0.480619926,-0.07354486,-0.837322778,-0.43388629,-0.95225513,-1.233930647,-0.330932066,0.019785022,-0.764818356
2016-09-29T00:00:00.000000000Z,1.013001829,-0.13754062,0.421708876,-0.013195339,0.434904215,55.85195721,45.52925342,1.166335,-0.630214091,0.277519562,2.794560914,1.112673287,0.448921924,-1.279997807,0.063180691,1.514563107
2016-09-30T00:00:00.000000000Z,1.017966421,0.147859402,0.402282736,-0.026097183,0.428379919,58.30103808,46.9292054,0.57073591,1.303187711,0.985833761,-0.857397819,0.624518132,1.207493519,1.743717665,0.04885187,0.886319846
2016-10-03T00:00:00.000000000Z,1.010705968,-0.082430959,0.372108036,-0.045017506,0.417125542,56.1217197,46.9292054,-0.447390702,0.643708308,1.104599108,3.372369742,2.229703879,1.625348782,-0.235266721,-0.012563931,3.137103021
2016-10-04T00:00:00.000000000Z,1.012613738,0.104678385,0.353001271,-0.051299417,0.404300688,57.56709676,46.9292054,0.280636876,2.560661452,2.750916603,4.285621881,2.770347833,2.401763081,-1.35465389,0.025702739,2.930967991
2016-10-05T00:00:00.000000000Z,1.011262227,0.075798013,0.335604218,-0.054957176,0.390561394,57.83903115,46.9292054,0.334688991,2.253058,2.775700507,3.956181699,2.700298243,2.111267858,-0.179688442,0.02605185,3.776493256
2016-10-06T00:00:00.000000000Z,1.014869744,0.096457211,0.333306194,-0.04580416,0.379110354,60.43321325,46.9292054,-0.581032604,2.977434944,3.664981083,3.796948003,3.050354766,3.239131557,-1.080804162,-0.005982142,2.716143841
2016-10-07T00:00:00.000000000Z,1.011494253,0.079250699,0.33089827,-0.038569667,0.369467937,60.9775844,46.9292054,0.100083752,2.044930911,2.894172962,0.267988699,2.74044277,2.197820681,2.864173257,0.017610316,3.132161956
2016-10-10T00:00:00.000000000Z,1.02407322,0.109649203,0.361138236,-0.006663761,0.367801997,66.55279587,46.9292054,-0.098633185,2.456898548,2.157120091,3.178650493,1.648283119,2.053816909,-1.864343321,0.038071925,1.314307172
2016-10-11T00:00:00.000000000Z,1.022624955,0.183761095,0.385501305,0.014159447,0.371341859,67.2251701,46.9292054,0.902038936,0.917244875,1.247563394,2.312920661,1.00508389,1.090834112,-1.301305824,0.090524623,1.011614837
2016-10-12T00:00:00.000000000Z,1.029296539,0.103855373,0.419341303,0.038399555,0.380941747,69.83714147,46.9292054,1.610289041,0.775257897,0.040399309,-2.377082213,-0.027342662,-0.168107137,2.191415671,0.114510041,-0.185666543
