date,norm_close,norm_obv_diff,macd_line,macd_diff,macd_signal,rsi,ev_ebitda,norm_vix_change,arima_pred,arima_res,tcn_pred,tcn_res,price_change
2016-06-23T00:00:00.000000000Z,0.98202896,4.580814185,-0.123873668,-0.056475065,-0.067398603,44.4655687,38.94071914,-0.661015246,-1.839862354,0.358048254,-1.772129836,0.290315736,-1.4818141
2016-06-24T00:00:00.000000000Z,0.957707252,14.59722903,-0.173998016,-0.08527953,-0.088718486,35.05894212,38.94071914,1.904919955,-1.329060844,-0.69299798,0.214811836,-2.23687066,-2.022058824
2016-06-27T00:00:00.000000000Z,0.947826675,2.487261732,-0.23601569,-0.117837763,-0.118177926,31.47374409,38.94071914,1.684381954,-0.878612369,-2.345708221,-2.025845017,-1.198475573,-3.22432059
2016-06-28T00:00:00.000000000Z,0.967187146,-1.458281146,-0.253197449,-0.108015618,-0.145181831,39.2438998,38.94071914,0.081447109,-1.344510591,-1.031003342,-3.78204997,1.406536037,-2.375513933
2016-06-29T00:00:00.000000000Z,0.977390752,-1.103284009,-0.249414526,-0.083386156,-0.16602837,42.73996115,38.94071914,-1.184806899,-1.733517701,0.541403992,-2.25486354,1.062749831,-1.192113709
2016-06-30T00:00:00.000000000Z,0.990737377,-1.057772895,-0.222069905,-0.044833228,-0.177236677,47.60980578,45.52925342,-0.517128072,-1.786705767,1.23975955,-1.415636594,0.868690377,-0.546946217
2016-07-01T00:00:00.000000000Z,0.994954775,-0.680521923,-0.1925313,-0.012235699,-0.180295602,48.82498519,45.52925342,-2.340843515,-1.1649843,3.838530266,2.046357342,0.627188624,2.673545966
2016-07-04T00:00:00.000000000Z,0.994954775,-0.680521923,-0.1925313,-0.012235699,-0.180295602,48.82498519,45.52925342,-2.340843515,-1.1649843,3.838530266,4.066637288,-1.393091322,2.673545966
2016-07-05T00:00:00.000000000Z,0.988160291,0.682234223,-0.182351125,-0.001644419,-0.180706706,45.72483465,45.52925342,-1.892536427,-0.037209215,3.32135962,2.349092028,0.935058377,3.284150405
2016-07-06T00:00:00.000000000Z,0.994981752,-0.655254356,-0.1635222,0.013747605,-0.177269805,47.79166245,45.52925342,-1.100494533,1.48761056,0.571350601,1.422407833,0.636553328,2.058961161
