date,norm_close,norm_obv_diff,macd_line,macd_diff,macd_signal,rsi,ev_ebidta,norm_vix_change,price_change
2016-03-31T00:00:00.000000000Z,1.041723709,-0.107127269,0.559188046,0.066089386,0.49309866,71.0084699,38.94071914,-0.422218358,-0.404367165
2016-04-01T00:00:00.000000000Z,1.047155563,0.101162751,0.584986022,0.07350989,0.511476132,73.16791855,38.94071914,-0.717147652,-1.241987179
2016-04-04T00:00:00.000000000Z,1.053577399,0.133249731,0.618474625,0.085598794,0.532875831,75.31979514,38.94071914,-0.477911323,-1.864339548
2016-04-05T00:00:00.000000000Z,1.037533568,-0.090121925,0.614530087,0.065323405,0.549206682,68.46098453,38.94071914,0.757635235,0.561797753
2016-04-06T00:00:00.000000000Z,1.043449433,0.085590493,0.625177186,0.060776403,0.564400783,71.00986761,38.94071914,0.259670115,0.953137411
2016-04-07T00:00:00.000000000Z,1.017096135,-0.097711254,0.58251976,0.014495182,0.568024578,59.96901266,38.94071914,1.060181617,3.288672351
2016-04-08T00:00:00.000000000Z,1.01438242,0.071827385,0.544055739,-0.019175071,0.56323081,60.2112806,38.94071914,1.165000398,1.095334686
2016-04-11T00:00:00.000000000Z,1.01487027,0.084179973,0.514899532,-0.038665022,0.553564555,61.34499226,38.94071914,1.024283267,-1.414713015
2016-04-12T00:00:00.000000000Z,1.024215796,0.074671168,0.511715615,-0.033479152,0.545194767,65.1474892,38.94071914,-0.251582254,-3.192338388
2016-04-13T00:00:00.000000000Z,1.035353535,0.088393017,0.532107524,-0.010469794,0.542577318,68.85886363,38.94071914,-0.122004265,-4.366640441
2016-04-14T00:00:00.000000000Z,1.033222322,0.066810503,0.54361563,0.000830649,0.542784981,69.05601018,38.94071914,-1.04278531,-5.503144654
2016-04-15T00:00:00.000000000Z,1.010236141,-0.122338921,0.50495542,-0.030263648,0.535219069,58.65820792,38.94071914,-0.784577692,-3.772070626
2016-04-18T00:00:00.000000000Z,0.98802941,-0.149977963,0.426632403,-0.086869333,0.513501735,50.33867309,38.94071914,-1.242393542,-2.25502255
2016-04-19T00:00:00.000000000Z,0.982305543,-0.080509824,0.350035937,-0.130772639,0.480808576,48.52085321,38.94071914,-0.75407761,-2.390766694
2016-04-20T00:00:00.000000000Z,0.98413084,0.074740298,0.290024051,-0.15262762,0.442651671,49.27950744,38.94071914,-0.282302573,-8.679555738
2016-04-21T00:00:00.000000000Z,0.973279352,-0.076911616,0.218162613,-0.179591246,0.397753859,45.38953339,38.94071914,0.11736513,-10.48252912
2016-04-22T00:00:00.000000000Z,0.970850202,-0.086001592,0.154588408,-0.194532361,0.349120769,44.54798218,38.94071914,-0.206711776,-11.30108424
2016-04-25T00:00:00.000000000Z,0.965240804,-0.068623279,0.091849776,-0.205816795,0.29766657,42.56491218,38.94071914,0.386456397,-10.86409396
2016-04-26T00:00:00.000000000Z,0.960220591,-0.135269998,0.028885323,-0.215024998,0.243910321,40.35399162,38.94071914,0.384139192,-8.783783784
