epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,17,,,0.03807780146598816,12.79676628112793,0.04254623502492905,1.474850058555603,0.024182559922337532
0,17,0.0934184193611145,,,,,,
1,35,,,0.029637839645147324,8.854095458984375,0.03333146125078201,1.612802505493164,0.017469901591539383
1,35,0.03239141404628754,,,,,,
2,49,,0.01921813376247883,,,,,
2,53,,,0.015326844528317451,3.011946439743042,0.02110130898654461,1.316550850868225,0.013136496767401695
2,53,0.021651487797498703,,,,,,
3,71,,,0.014579557813704014,1.5155898332595825,0.020401740446686745,1.6007379293441772,0.01159164309501648
3,71,0.01820238307118416,,,,,,
4,89,,,0.02445087768137455,6.520864009857178,0.02836001105606556,1.578418493270874,0.015710804611444473
4,89,0.01621559076011181,,,,,,
5,99,,0.013121198862791061,,,,,
5,107,,,0.015638520941138268,2.2517096996307373,0.020747371017932892,1.6202350854873657,0.011368954554200172
5,107,0.01520818006247282,,,,,,
6,125,,,0.014410767704248428,1.3550406694412231,0.019815394654870033,1.655288815498352,0.011251497082412243
6,125,0.013328790664672852,,,,,,
7,143,,,0.020670205354690552,4.861532688140869,0.025121744722127914,1.54875910282135,0.012829490937292576
7,143,0.012548199854791164,,,,,,
8,149,,0.011450963094830513,,,,,
8,161,,,0.014113960787653923,1.1279323101043701,0.019741084426641464,1.6228970289230347,0.013792572543025017
8,161,0.0127244982868433,,,,,,
9,179,,,0.01574421487748623,3.572242259979248,0.021187420934438705,1.2667021751403809,0.010792718268930912
9,179,0.011597398668527603,,,,,,
10,197,,,0.014294276013970375,1.6449296474456787,0.019783735275268555,1.4721421003341675,0.010607623495161533
10,197,0.011437338776886463,,,,,,
11,199,,0.010279499925673008,,,,,
11,215,,,0.01759759522974491,3.2683424949645996,0.02265654131770134,1.5210648775100708,0.011338172480463982
11,215,0.012292304076254368,,,,,,
12,233,,,0.02151741459965706,6.809851169586182,0.026803888380527496,1.3067694902420044,0.015438939444720745
12,233,0.012042203918099403,,,,,,
13,249,,0.012055400758981705,,,,,
13,251,,,0.02561614289879799,6.886205196380615,0.029566679149866104,1.5838855504989624,0.01390800066292286
13,251,0.01107117161154747,,,,,,
14,269,,,0.01765742152929306,4.80984354019165,0.023063208907842636,1.267427682876587,0.010897134430706501
14,269,0.010798378847539425,,,,,,
15,287,,,0.014904612675309181,1.4274123907089233,0.020317306742072105,1.74602210521698,0.011244934983551502
15,287,0.011545132845640182,,,,,,
16,299,,0.009434230625629425,,,,,
16,305,,,0.015845734626054764,3.5533409118652344,0.021297141909599304,1.2762503623962402,0.010414198972284794
16,305,0.010523403994739056,,,,,,
17,323,,,0.014417874626815319,1.878104567527771,0.020149575546383858,1.397015929222107,0.010191644541919231
17,323,0.009934027679264545,,,,,,
18,341,,,0.024404222145676613,6.360858917236328,0.028530091047286987,1.578309178352356,0.013683080673217773
18,341,0.011035379022359848,,,,,,
19,349,,0.009084774181246758,,,,,
19,359,,,0.015592879615724087,1.8389912843704224,0.02104225941002369,1.6584687232971191,0.012978849932551384
19,359,0.010665175504982471,,,,,,
